,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,69074,160139,CENTRAL & WESTERN,22.283520000000003,114.15018,Entire home/apt,1408,3,130,1,159
2,103760,304876,CENTRAL & WESTERN,22.28407,114.1557,Entire home/apt,853,2,260,12,329
3,132773,304876,CENTRAL & WESTERN,22.28868,114.14493999999999,Entire home/apt,1056,2,259,12,308
4,133390,654642,CENTRAL & WESTERN,22.28343,114.15539,Entire home/apt,939,2,27,1,91
5,163214,767910,CENTRAL & WESTERN,22.28494,114.15251,Entire home/apt,1048,5,0,1,83
6,163664,304876,CENTRAL & WESTERN,22.28651,114.14873999999999,Entire home/apt,696,2,208,12,284
7,163742,304876,CENTRAL & WESTERN,22.286939999999998,114.14855,Entire home/apt,775,2,216,12,307
9,228510,1192493,YAU TSIM MONG,22.309829999999998,114.16911,Private room,696,1,17,1,365
11,248140,1300549,CENTRAL & WESTERN,22.28291,114.15137,Entire home/apt,994,2,153,1,142
12,262212,1375696,WAN CHAI,22.27626,114.17293000000001,Entire home/apt,1314,1,73,18,4
13,263081,1370155,CENTRAL & WESTERN,22.27757,114.15205,Private room,4303,10,0,1,0
14,274589,1435069,WAN CHAI,22.2794,114.17118,Entire home/apt,1080,2,231,1,348
15,277437,1443229,CENTRAL & WESTERN,22.28359,114.13138000000001,Entire home/apt,900,2,41,6,342
16,278277,1452499,WAN CHAI,22.27938,114.17368,Entire home/apt,1549,3,238,7,298
18,284141,1469210,CENTRAL & WESTERN,22.283170000000002,114.15028000000001,Entire home/apt,626,2,22,1,0
19,290161,1505903,CENTRAL & WESTERN,22.28114,114.15306000000001,Entire home/apt,782,1,34,1,0
20,306515,1576511,CENTRAL & WESTERN,22.282220000000002,114.15448,Entire home/apt,1056,30,20,1,194
21,320446,1375696,WAN CHAI,22.27599,114.17976000000002,Private room,1001,1,15,18,76
22,320447,1375696,WAN CHAI,22.27711,114.17772,Entire home/apt,2253,1,102,18,198
23,327095,1529119,WAN CHAI,22.27909,114.17205,Entire home/apt,1158,3,226,1,307
25,355748,1267685,WAN CHAI,22.277160000000002,114.18786999999999,Private room,297,14,5,7,10
26,389017,1946293,WAN CHAI,22.27814,114.19228000000001,Private room,485,2,40,2,364
27,405722,2022316,CENTRAL & WESTERN,22.2816,114.15042,Entire home/apt,1017,1,0,1,0
28,410921,1375696,WAN CHAI,22.27736,114.17948999999999,Private room,782,1,18,18,76
29,412404,1991696,YAU TSIM MONG,22.29701,114.17138,Entire home/apt,548,1,217,3,325
30,415520,1564983,YAU TSIM MONG,22.305979999999998,114.1659,Entire home/apt,1001,3,434,2,102
31,442781,2200572,CENTRAL & WESTERN,22.28756,114.13367,Entire home/apt,1244,5,10,1,0
32,459463,2283777,WAN CHAI,22.27732,114.18291,Entire home/apt,383,1,74,16,365
33,463214,2296168,CENTRAL & WESTERN,22.28753,114.14308,Entire home/apt,1322,3,20,1,227
34,468754,2254012,WAN CHAI,22.28073,114.17838,Entire home/apt,1103,3,197,1,212
36,481671,2379932,CENTRAL & WESTERN,22.28571,114.15166,Entire home/apt,297,15,0,1,0
37,498484,2460679,YAU TSIM MONG,22.32193,114.16213,Entire home/apt,540,4,60,1,352
40,505456,1189239,CENTRAL & WESTERN,22.28356,114.14835,Entire home/apt,876,1,189,1,262
41,529539,2192939,WAN CHAI,22.27763,114.18318000000001,Entire home/apt,798,5,8,2,90
42,534106,2625423,CENTRAL & WESTERN,22.284029999999998,114.14192,Entire home/apt,1001,1,12,2,8
43,545658,2679225,CENTRAL & WESTERN,22.28276,114.12848000000001,Entire home/apt,751,5,2,1,0
44,548840,808933,CENTRAL & WESTERN,22.28505,114.14211,Entire home/apt,540,2,173,3,335
45,554138,635161,CENTRAL & WESTERN,22.28378,114.1476,Entire home/apt,876,2,8,1,0
47,562683,2767794,WAN CHAI,22.27787,114.17678000000001,Shared room,172,1,110,48,347
48,562775,2767794,WAN CHAI,22.27931,114.17663,Shared room,282,1,188,48,361
49,562795,2767794,WAN CHAI,22.27939,114.17777,Shared room,282,1,43,48,365
50,562808,2767794,WAN CHAI,22.277620000000002,114.17623999999999,Shared room,282,1,25,48,365
51,562817,2767794,WAN CHAI,22.277060000000002,114.17589,Shared room,282,1,155,48,362
52,562840,2767794,WAN CHAI,22.27759,114.17671000000001,Shared room,282,1,28,48,365
54,586083,1991696,YAU TSIM MONG,22.298460000000002,114.17233,Entire home/apt,454,1,292,3,285
55,598668,2961152,WAN CHAI,22.28124,114.18418,Private room,399,28,3,7,365
56,602959,1560343,CENTRAL & WESTERN,22.28774,114.14254,Entire home/apt,1174,2,2,1,361
63,621305,3079511,YAU TSIM MONG,22.31501,114.16906999999999,Entire home/apt,759,1,379,4,280
64,622020,3073447,CENTRAL & WESTERN,22.28387,114.14753,Entire home/apt,1197,5,28,1,0
66,645404,634820,YAU TSIM MONG,22.32619,114.16461000000001,Shared room,227,1,142,5,64
67,645950,3052154,YAU TSIM MONG,22.31629,114.1706,Entire home/apt,1001,4,162,4,173
68,646645,634820,YAU TSIM MONG,22.32612,114.1647,Private room,454,1,36,5,48
69,655190,808933,WAN CHAI,22.27871,114.18141999999999,Entire home/apt,696,2,171,3,326
70,668338,3383055,YAU TSIM MONG,22.31128,114.16836,Private room,297,1,107,10,365
71,669310,2083001,CENTRAL & WESTERN,22.28616,114.15247,Entire home/apt,853,2,181,5,309
72,672039,3383055,YAU TSIM MONG,22.31008,114.17026000000001,Private room,352,1,150,10,365
73,682768,3383055,YAU TSIM MONG,22.309420000000003,114.1685,Private room,297,1,134,10,347
74,682794,3383055,YAU TSIM MONG,22.31145,114.16845,Private room,297,1,136,10,350
75,682797,3383055,YAU TSIM MONG,22.31082,114.17003000000001,Private room,297,1,207,10,300
77,714585,1452499,WAN CHAI,22.27904,114.17083999999998,Entire home/apt,1862,3,244,7,280
78,719274,3707765,WAN CHAI,22.28519,114.19192,Private room,649,2,0,8,365
79,720841,3383055,YAU TSIM MONG,22.305989999999998,114.1712,Private room,297,1,30,10,195
80,724382,3704487,YAU TSIM MONG,22.30745,114.17138,Private room,383,1,210,7,273
81,724428,3704487,YAU TSIM MONG,22.30759,114.17105,Private room,383,1,155,7,37
82,724853,3704487,YAU TSIM MONG,22.3062,114.17223999999999,Private room,336,1,113,7,336
83,724874,3704487,YAU TSIM MONG,22.30615,114.17108,Private room,336,1,189,7,353
84,728122,3784841,YAU TSIM MONG,22.31692,114.1699,Private room,321,28,8,4,142
85,728126,3784841,YAU TSIM MONG,22.31618,114.16923999999999,Private room,391,28,17,4,85
86,730356,3383055,YAU TSIM MONG,22.307570000000002,114.17138999999999,Private room,501,1,19,10,365
87,730367,3383055,YAU TSIM MONG,22.30761,114.17112,Private room,454,1,24,10,365
88,730379,3383055,YAU TSIM MONG,22.306179999999998,114.17221,Private room,469,1,22,10,336
89,733192,3820308,YAU TSIM MONG,22.322429999999997,114.16973999999999,Entire home/apt,853,3,78,19,347
90,741955,3784841,YAU TSIM MONG,22.318270000000002,114.16853,Private room,383,28,15,4,232
91,742040,3784841,YAU TSIM MONG,22.31642,114.17003000000001,Private room,282,28,41,4,227
92,742349,3776595,YAU TSIM MONG,22.31941,114.16734,Entire home/apt,853,4,217,8,91
93,744230,3900338,CENTRAL & WESTERN,22.2822,114.1518,Entire home/apt,1009,2,7,2,0
95,754511,3970555,WAN CHAI,22.27926,114.19207,Entire home/apt,720,4,14,1,0
96,758472,3934072,YAU TSIM MONG,22.31648,114.17241000000001,Entire home/apt,2003,4,154,3,361
99,767500,4048151,YAU TSIM MONG,22.30632,114.17079,Private room,329,1,198,8,193
100,767707,3800609,YAU TSIM MONG,22.31841,114.16981000000001,Entire home/apt,1095,1,140,15,324
101,775458,2007350,WAN CHAI,22.28067,114.17878,Entire home/apt,1346,2,320,1,76
102,775479,4090623,YAU TSIM MONG,22.3195,114.16798999999999,Shared room,117,4,186,2,28
103,777196,3776595,YAU TSIM MONG,22.30774,114.16798,Entire home/apt,1001,4,246,8,84
104,777269,2283777,WAN CHAI,22.279120000000002,114.18398,Private room,329,1,113,16,365
105,782604,4127290,CENTRAL & WESTERN,22.28346,114.13046999999999,Entire home/apt,1001,27,28,2,289
106,792974,2172438,CENTRAL & WESTERN,22.28,114.15218,Entire home/apt,978,28,20,1,365
108,811505,4267218,CENTRAL & WESTERN,22.28359,114.14685,Entire home/apt,900,3,36,1,40
110,825791,3820308,YAU TSIM MONG,22.30174,114.17686,Entire home/apt,602,28,91,19,33
111,825843,4125106,YAU TSIM MONG,22.3072,114.17008999999999,Shared room,102,28,173,9,365
112,825899,4125106,YAU TSIM MONG,22.305529999999997,114.17201999999999,Shared room,102,28,132,9,365
113,835609,1452499,WAN CHAI,22.27732,114.17578,Entire home/apt,1706,3,240,7,279
114,844447,4345080,WAN CHAI,22.27541,114.1707,Entire home/apt,767,1,27,1,218
115,846482,4420092,CENTRAL & WESTERN,22.286379999999998,114.14055,Entire home/apt,665,3,113,1,296
116,846855,3014654,WAN CHAI,22.27666,114.17116999999999,Private room,399,30,1,2,365
117,849316,4414395,WAN CHAI,22.27812,114.18183,Entire home/apt,782,2,74,1,16
118,850531,4441809,WAN CHAI,22.27994,114.18966,Private room,305,2,478,1,211
120,857837,4481461,WAN CHAI,22.27111,114.17398999999999,Shared room,876,1,11,8,365
121,860952,4393124,WAN CHAI,22.278129999999997,114.17965,Entire home/apt,1127,1,154,3,295
122,861654,3820308,YAU TSIM MONG,22.302039999999998,114.17517,Entire home/apt,548,30,34,19,357
123,865757,4422400,CENTRAL & WESTERN,22.280479999999997,114.15281999999999,Entire home/apt,3912,5,7,1,315
125,881740,4326731,YAU TSIM MONG,22.29726,114.17436000000001,Entire home/apt,876,2,285,3,192
126,895382,4770153,CENTRAL & WESTERN,22.28546,114.15137,Entire home/apt,900,2,3,1,108
127,897942,4326731,YAU TSIM MONG,22.29587,114.17363,Entire home/apt,876,2,320,3,203
128,903169,4584648,YAU TSIM MONG,22.3131,114.16861000000002,Private room,180,30,2,80,365
131,911684,4891952,WAN CHAI,22.27453,114.17277,Entire home/apt,462,2,249,4,59
132,923017,4971086,YAU TSIM MONG,22.32471,114.16751000000001,Entire home/apt,1150,1,349,10,14
133,926138,4971086,YAU TSIM MONG,22.32335,114.17017,Entire home/apt,1127,1,363,10,263
134,944283,5100812,CENTRAL & WESTERN,22.2849,114.15401999999999,Entire home/apt,1134,10,56,2,172
135,956857,5100812,CENTRAL & WESTERN,22.28445,114.15366000000002,Private room,383,7,5,2,116
136,957513,5207666,CENTRAL & WESTERN,22.28666,114.14629,Entire home/apt,837,2,35,1,356
137,968289,2180835,YAU TSIM MONG,22.31846,114.16965,Entire home/apt,978,3,85,1,361
139,985636,2961152,WAN CHAI,22.280910000000002,114.18477,Private room,477,28,1,7,365
140,992390,5181284,CENTRAL & WESTERN,22.28289,114.15293,Entire home/apt,634,25,132,2,180
141,999123,80868,CENTRAL & WESTERN,22.28455,114.15527,Entire home/apt,7002,9,59,1,89
142,1008582,4812035,YAU TSIM MONG,22.29876,114.17091,Shared room,211,1,91,14,302
143,1008590,4812035,YAU TSIM MONG,22.2989,114.17092,Shared room,156,1,110,14,332
144,1017707,3800609,YAU TSIM MONG,22.32421,114.17148999999999,Entire home/apt,861,1,47,15,365
145,1019390,2014297,CENTRAL & WESTERN,22.28671,114.15093,Private room,602,1,66,1,358
147,1043061,5742879,YAU TSIM MONG,22.32086,114.16956,Private room,602,14,0,1,365
148,1043780,1375696,WAN CHAI,22.27805,114.17962,Private room,798,1,15,18,76
149,1058541,1375696,WAN CHAI,22.27802,114.17961000000001,Entire home/apt,2801,1,56,18,180
150,1062444,4812035,YAU TSIM MONG,22.29885,114.17289,Shared room,149,1,208,14,345
151,1062445,4812035,YAU TSIM MONG,22.29826,114.17071000000001,Entire home/apt,696,1,111,14,263
152,1067465,2283777,WAN CHAI,22.27727,114.18505,Entire home/apt,344,1,121,16,358
153,1072645,5900391,WAN CHAI,22.27775,114.16793,Entire home/apt,688,4,38,1,1
154,1076011,3800609,YAU TSIM MONG,22.317970000000003,114.17097,Entire home/apt,1095,1,41,15,365
155,1079349,4971086,YAU TSIM MONG,22.32005,114.17281000000001,Entire home/apt,978,1,441,10,256
156,1079351,4971086,YAU TSIM MONG,22.32038,114.17222,Entire home/apt,1604,1,347,10,253
157,1108132,6084316,CENTRAL & WESTERN,22.28235,114.15195,Entire home/apt,775,1,350,1,267
158,1127705,6187328,CENTRAL & WESTERN,22.284129999999998,114.14525,Entire home/apt,1799,2,17,1,275
159,1127954,6188776,CENTRAL & WESTERN,22.283520000000003,114.15076,Entire home/apt,790,3,1,1,0
160,1149076,4584648,CENTRAL & WESTERN,22.2818,114.15118000000001,Private room,243,30,1,80,352
161,1152148,6315448,WAN CHAI,22.28119,114.18387,Entire home/apt,767,60,2,14,285
162,1165573,4258815,CENTRAL & WESTERN,22.2827,114.15156,Entire home/apt,939,3,113,1,40
163,1176693,1245194,WAN CHAI,22.278779999999998,114.18445,Entire home/apt,1846,2,36,5,301
164,1182474,6361579,YAU TSIM MONG,22.314629999999998,114.16885,Private room,313,2,87,12,166
165,1184163,6315448,WAN CHAI,22.27947,114.18316999999999,Entire home/apt,798,60,1,14,281
166,1184289,6315448,WAN CHAI,22.279329999999998,114.18305,Entire home/apt,798,60,3,14,365
167,1184349,6315448,WAN CHAI,22.28584,114.19465,Entire home/apt,735,60,4,14,365
168,1192221,5469501,YAU TSIM MONG,22.325689999999998,114.16783999999998,Entire home/apt,1197,1,48,2,344
169,1226450,4584648,CENTRAL & WESTERN,22.28654,114.14808000000001,Private room,211,31,1,80,364
173,1253977,6811924,YAU TSIM MONG,22.30274,114.17605,Entire home/apt,751,28,69,30,365
174,1286397,6811924,YAU TSIM MONG,22.30177,114.17573,Entire home/apt,876,3,80,30,216
175,1297179,6811924,YAU TSIM MONG,22.303279999999997,114.17408,Entire home/apt,798,7,58,30,314
176,1309865,7120433,WAN CHAI,22.285020000000003,114.19396,Private room,329,1,0,1,0
177,1317574,7139962,CENTRAL & WESTERN,22.28567,114.15612,Entire home/apt,767,3,107,2,6
178,1317577,7139962,CENTRAL & WESTERN,22.28223,114.15196999999999,Entire home/apt,947,3,184,2,0
179,1319156,6633807,YAU TSIM MONG,22.30053,114.17206000000002,Entire home/apt,642,2,344,22,241
180,1345297,5056201,CENTRAL & WESTERN,22.2813,114.15143,Entire home/apt,931,28,1,3,313
181,1346081,1375696,WAN CHAI,22.27569,114.17121999999999,Entire home/apt,1784,1,32,18,0
183,1453845,2911004,YAU TSIM MONG,22.29605,114.17395,Entire home/apt,642,3,60,1,21
184,1462722,7839040,WAN CHAI,22.27224,114.18605,Entire home/apt,1001,3,6,1,0
185,1504639,8039233,YAU TSIM MONG,22.30189,114.18423999999999,Entire home/apt,1197,1,108,1,185
186,1507536,8052423,YAU TSIM MONG,22.297710000000002,114.16972,Entire home/apt,1604,1,32,1,0
187,1524471,4134804,WAN CHAI,22.27744,114.17035,Entire home/apt,915,3,92,1,0
188,1534018,8178525,CENTRAL & WESTERN,22.28591,114.13646000000001,Private room,751,3,1,1,270
189,1553655,6315448,WAN CHAI,22.28464,114.1919,Entire home/apt,767,60,4,14,315
190,1564248,8321816,CENTRAL & WESTERN,22.28264,114.15133,Entire home/apt,649,5,9,1,0
191,1567495,4048151,YAU TSIM MONG,22.30644,114.17268,Private room,336,1,49,8,193
193,1606207,1375696,WAN CHAI,22.27792,114.17048999999999,Entire home/apt,2253,1,22,18,198
194,1608490,3800609,YAU TSIM MONG,22.31801,114.171,Entire home/apt,1095,1,68,15,0
195,1615676,8599676,YAU TSIM MONG,22.32017,114.17124,Private room,548,1,3,1,0
196,1620620,5469501,YAU TSIM MONG,22.323610000000002,114.16651,Entire home/apt,1119,1,201,2,362
197,1622894,5082241,CENTRAL & WESTERN,22.292360000000002,114.14844,Entire home/apt,751,5,13,1,9
198,1623311,8632157,CENTRAL & WESTERN,22.28118,114.15243999999998,Entire home/apt,900,4,7,1,315
199,1634794,8683887,CENTRAL & WESTERN,22.27501,114.1606,Private room,688,1,404,1,243
200,1643979,1375696,WAN CHAI,22.27733,114.17188,Entire home/apt,2331,1,25,18,198
201,1650144,1443229,WAN CHAI,22.279729999999997,114.18215,Entire home/apt,978,1,95,6,362
203,1697582,1375696,WAN CHAI,22.27696,114.17063,Entire home/apt,4600,1,38,18,201
204,1708543,7456732,CENTRAL & WESTERN,22.2813,114.15415,Entire home/apt,892,2,8,1,3
205,1711752,5735765,WAN CHAI,22.2738,114.17793,Entire home/apt,642,3,74,6,311
206,1711948,5735765,WAN CHAI,22.27283,114.17128000000001,Entire home/apt,548,2,68,6,302
207,1716222,4345949,YAU TSIM MONG,22.29995,114.17428999999998,Entire home/apt,649,1,65,3,79
209,1745925,3704487,YAU TSIM MONG,22.31255,114.1699,Private room,2003,1,127,7,365
210,1749208,3704487,YAU TSIM MONG,22.31332,114.16971000000001,Private room,1001,1,77,7,365
211,1752310,808933,WAN CHAI,22.27471,114.17536000000001,Entire home/apt,743,3,115,3,262
212,1756864,5538969,CENTRAL & WESTERN,22.28032,114.15059,Entire home/apt,2746,5,8,1,193
213,1756896,3583879,CENTRAL & WESTERN,22.27955,114.15246,Entire home/apt,3098,3,17,1,0
215,1799637,6070003,YAU TSIM MONG,22.31377,114.16989,Entire home/apt,1479,1,27,14,168
216,1799798,6070003,YAU TSIM MONG,22.31671,114.16995,Entire home/apt,978,1,5,14,322
217,1800060,9237185,CENTRAL & WESTERN,22.2807,114.15673000000001,Entire home/apt,3521,5,12,1,25
219,1803521,6070003,YAU TSIM MONG,22.31278,114.1719,Entire home/apt,587,14,7,14,180
220,1808691,6070003,YAU TSIM MONG,22.313270000000003,114.17156999999999,Private room,391,30,8,14,365
221,1812168,6684297,CENTRAL & WESTERN,22.287,114.14946,Entire home/apt,1385,4,237,6,156
222,1816287,6070003,YAU TSIM MONG,22.31335,114.17061000000001,Private room,681,30,4,14,180
223,1819281,1593153,WAN CHAI,22.278170000000003,114.18396000000001,Private room,602,2,158,1,0
225,1826133,2767559,YAU TSIM MONG,22.31534,114.16998000000001,Private room,2597,2,0,16,365
228,1835565,2767559,YAU TSIM MONG,22.318170000000002,114.17085,Private room,782,2,1,16,87
229,1838581,1375696,WAN CHAI,22.27829,114.17204,Private room,845,1,7,18,191
230,1838603,1375696,WAN CHAI,22.27698,114.1706,Private room,767,1,4,18,191
231,1838607,1375696,WAN CHAI,22.2782,114.17003000000001,Private room,665,1,21,18,176
232,1838612,1375696,WAN CHAI,22.2773,114.17055,Private room,665,1,14,18,187
233,1838620,1375696,WAN CHAI,22.27674,114.17053,Private room,610,1,16,18,187
234,1838624,1375696,WAN CHAI,22.276529999999998,114.17203,Private room,876,1,5,18,192
235,1849525,2767559,YAU TSIM MONG,22.31786,114.1714,Private room,892,1,2,16,360
236,1849579,2767559,YAU TSIM MONG,22.31555,114.16928999999999,Private room,947,1,0,16,293
237,1851862,2767559,YAU TSIM MONG,22.31859,114.17028,Private room,602,1,10,16,365
238,1852093,6315448,WAN CHAI,22.285429999999998,114.19148,Entire home/apt,735,60,8,14,339
239,1852730,9674420,CENTRAL & WESTERN,22.28056,114.15086000000001,Entire home/apt,900,3,1,1,0
240,1854378,3800609,YAU TSIM MONG,22.318170000000002,114.17204,Entire home/apt,1095,1,73,15,359
241,1870508,4613249,WAN CHAI,22.28237,114.19171999999999,Entire home/apt,407,3,12,1,0
242,1883287,2767559,YAU TSIM MONG,22.31658,114.16996999999999,Private room,649,1,0,16,314
244,1895710,9672550,YAU TSIM MONG,22.31496,114.16786,Entire home/apt,587,1,102,2,71
245,1896903,9852337,CENTRAL & WESTERN,22.28283,114.12933999999998,Entire home/apt,720,3,2,1,0
246,1906974,9897606,YAU TSIM MONG,22.318929999999998,114.17001,Private room,383,1,201,6,206
247,1910291,2083001,CENTRAL & WESTERN,22.280910000000002,114.15313,Entire home/apt,853,2,163,5,357
248,1916515,9938458,WAN CHAI,22.27599,114.17199,Private room,853,1,1,1,0
249,1922220,5181284,CENTRAL & WESTERN,22.28294,114.15276999999999,Entire home/apt,681,20,90,2,90
250,1925530,9974814,CENTRAL & WESTERN,22.28435,114.14877,Entire home/apt,696,5,7,1,0
252,1932513,10003636,CENTRAL & WESTERN,22.28495,114.15491000000002,Entire home/apt,1299,3,11,1,0
253,1932651,10002884,YAU TSIM MONG,22.32103,114.16752,Entire home/apt,571,1,33,1,62
254,1934882,9239312,CENTRAL & WESTERN,22.28462,114.13458,Entire home/apt,548,3,30,1,252
255,1937332,10023610,CENTRAL & WESTERN,22.285120000000003,114.13878000000001,Entire home/apt,853,2,2,1,0
258,1972719,1452499,WAN CHAI,22.277810000000002,114.17253000000001,Entire home/apt,1393,3,193,7,97
259,1980034,5735765,WAN CHAI,22.27402,114.17296,Entire home/apt,618,3,54,6,353
260,1980699,2302770,CENTRAL & WESTERN,22.28814,114.14535,Private room,477,1,221,3,66
261,1985824,10244810,WAN CHAI,22.26695,114.18578000000001,Entire home/apt,947,3,0,1,0
262,2002611,10312578,CENTRAL & WESTERN,22.284270000000003,114.13076000000001,Entire home/apt,548,26,10,2,0
263,2019027,3808879,CENTRAL & WESTERN,22.286720000000003,114.14141000000001,Private room,376,3,3,1,10
264,2026233,10394386,WAN CHAI,22.2785,114.18257,Entire home/apt,696,1,189,4,77
265,2028459,10394386,WAN CHAI,22.28025,114.18171000000001,Entire home/apt,900,1,192,4,64
267,2034064,10441257,CENTRAL & WESTERN,22.27992,114.15518999999999,Entire home/apt,1197,1,9,1,0
269,2039410,6932125,CENTRAL & WESTERN,22.28432,114.14917,Entire home/apt,947,3,82,1,93
271,2039863,6067974,WAN CHAI,22.28492,114.19218000000001,Entire home/apt,1197,28,51,23,152
273,2047709,413959,CENTRAL & WESTERN,22.28442,114.15198000000001,Entire home/apt,751,3,4,1,0
274,2058555,10539238,YAU TSIM MONG,22.305999999999997,114.17039,Private room,1604,1,0,1,0
278,2098808,10705091,CENTRAL & WESTERN,22.28753,114.14773999999998,Entire home/apt,704,2,147,10,0
279,2099444,237000,CENTRAL & WESTERN,22.28974,114.14273,Entire home/apt,853,3,21,1,0
281,2104151,4971086,YAU TSIM MONG,22.32338,114.16933999999999,Entire home/apt,1103,1,320,10,0
282,2130117,10867451,YAU TSIM MONG,22.2968,114.17503,Shared room,211,1,17,1,0
283,2136096,10900287,YAU TSIM MONG,22.3051,114.16938,Private room,1001,1,0,1,0
284,2140411,10705091,CENTRAL & WESTERN,22.28894,114.14473999999998,Entire home/apt,571,2,129,10,311
285,2147648,2302770,CENTRAL & WESTERN,22.28406,114.14908999999999,Entire home/apt,1393,1,90,3,316
288,2161352,6070003,YAU TSIM MONG,22.3043,114.17081999999999,Private room,696,15,2,14,180
289,2165914,472313,WAN CHAI,22.282429999999998,114.18623999999998,Entire home/apt,1197,31,18,1,0
292,2184084,10713209,CENTRAL & WESTERN,22.28204,114.13888,Entire home/apt,1956,30,20,1,365
293,2186111,10428889,YAU TSIM MONG,22.312620000000003,114.16973,Private room,282,29,0,3,202
294,2188122,11157441,YAU TSIM MONG,22.30074,114.1773,Entire home/apt,391,4,56,2,217
295,2189567,11166763,CENTRAL & WESTERN,22.28365,114.14861,Entire home/apt,548,7,7,1,0
297,2190412,10957472,CENTRAL & WESTERN,22.279120000000002,114.15361000000001,Entire home/apt,2097,2,54,2,358
298,2190971,6110860,YAU TSIM MONG,22.30927,114.17056000000001,Shared room,125,1,56,32,365
299,2213514,11290872,CENTRAL & WESTERN,22.28247,114.14645,Entire home/apt,1197,1,10,1,0
300,2228863,5009801,CENTRAL & WESTERN,22.28196,114.15137,Entire home/apt,900,2,55,1,0
301,2229877,3776595,WAN CHAI,22.276120000000002,114.17448999999999,Entire home/apt,1001,4,176,8,59
302,2246101,1452499,WAN CHAI,22.27889,114.17146000000001,Entire home/apt,1549,3,149,7,274
303,2269506,1306308,CENTRAL & WESTERN,22.28051,114.15347,Entire home/apt,1377,2,128,2,194
304,2272136,548455,YAU TSIM MONG,22.30187,114.17631000000002,Entire home/apt,1158,2,21,1,314
308,2316236,11826535,CENTRAL & WESTERN,22.28565,114.15292,Entire home/apt,798,28,9,1,365
309,2329856,6811924,YAU TSIM MONG,22.30164,114.17448,Entire home/apt,454,2,151,30,297
310,2330370,6811924,YAU TSIM MONG,22.30258,114.17368,Entire home/apt,634,28,58,30,316
312,2339680,6811924,YAU TSIM MONG,22.3019,114.17594,Entire home/apt,501,2,46,30,320
313,2342794,4971086,YAU TSIM MONG,22.32111,114.16988,Entire home/apt,1502,1,180,10,241
314,2357436,10881325,CENTRAL & WESTERN,22.28616,114.14697,Private room,548,3,17,1,81
315,2371295,6633807,YAU TSIM MONG,22.301479999999998,114.17383000000001,Entire home/apt,618,2,271,22,220
316,2377727,3800609,YAU TSIM MONG,22.31885,114.17069,Entire home/apt,1408,1,135,15,289
317,2387260,2175353,WAN CHAI,22.27996,114.18391000000001,Entire home/apt,751,3,15,1,0
318,2393133,304876,CENTRAL & WESTERN,22.28482,114.13993,Entire home/apt,853,2,68,12,214
319,2401768,1375696,WAN CHAI,22.27854,114.1719,Private room,688,1,8,18,187
320,2401875,2792919,CENTRAL & WESTERN,22.28004,114.1536,Entire home/apt,1189,14,57,1,358
321,2427198,3776595,WAN CHAI,22.27683,114.17448999999999,Entire home/apt,1103,4,230,8,67
322,2442588,10575316,CENTRAL & WESTERN,22.287689999999998,114.14263000000001,Entire home/apt,994,7,34,7,293
323,2449425,12526206,YAU TSIM MONG,22.3233,114.16843999999999,Entire home/apt,297,3,0,3,0
324,2458782,4048151,YAU TSIM MONG,22.306720000000002,114.17218999999999,Private room,336,1,59,8,193
325,2468216,1654196,WAN CHAI,22.2749,114.1748,Entire home/apt,1001,4,92,3,143
326,2472517,12326516,YAU TSIM MONG,22.313760000000002,114.16765,Entire home/apt,900,1,283,1,227
327,2522202,12913949,CENTRAL & WESTERN,22.28434,114.1422,Entire home/apt,1189,3,14,1,0
328,2524352,2767559,YAU TSIM MONG,22.31458,114.17154,Entire home/apt,2981,1,0,16,303
329,2529065,59802,CENTRAL & WESTERN,22.28764,114.13358000000001,Entire home/apt,2973,6,3,1,0
330,2529274,4345949,YAU TSIM MONG,22.30113,114.17345,Entire home/apt,649,1,55,3,83
331,2532565,12970634,WAN CHAI,22.27775,114.18613,Private room,454,1,13,2,193
332,2553749,13075687,CENTRAL & WESTERN,22.28418,114.13032,Entire home/apt,1001,1,7,1,40
333,2554982,2455123,WAN CHAI,22.27881,114.17142,Entire home/apt,250,2,2,1,11
334,2566050,12404807,YAU TSIM MONG,22.31663,114.17142,Entire home/apt,430,1,186,4,277
335,2601928,5533945,CENTRAL & WESTERN,22.28576,114.14769,Entire home/apt,2887,14,11,4,0
336,2602382,12970634,WAN CHAI,22.277929999999998,114.18494,Private room,399,2,22,2,193
337,2602519,12404807,YAU TSIM MONG,22.31856,114.17175,Entire home/apt,751,1,259,4,219
338,2604464,6070003,YAU TSIM MONG,22.303910000000002,114.17075,Entire home/apt,696,15,4,14,180
339,2604819,12404807,YAU TSIM MONG,22.3174,114.17036,Entire home/apt,1252,1,75,4,218
340,2612849,12404807,YAU TSIM MONG,22.31863,114.16932,Entire home/apt,751,1,211,4,231
341,2638755,13512900,YAU TSIM MONG,22.32328,114.1704,Private room,430,1,49,1,259
342,2648857,13527132,YAU TSIM MONG,22.31981,114.16538,Entire home/apt,939,3,5,3,89
343,2654019,1336083,CENTRAL & WESTERN,22.2829,114.15218,Entire home/apt,391,5,14,1,9
344,2657448,11722561,CENTRAL & WESTERN,22.28109,114.15387,Entire home/apt,798,5,15,1,364
345,2660466,13616765,WAN CHAI,22.27562,114.17216,Private room,798,3,1,2,0
