,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3332,16491517,103092366,YAU TSIM MONG,22.30635,114.16598,Private room,407,1,357,3,21
3333,16493868,103092366,YAU TSIM MONG,22.30716,114.16638,Private room,360,1,401,3,19
3334,16495969,34192895,CENTRAL & WESTERN,22.28815,114.14881000000001,Private room,438,3,16,4,0
3335,16498756,103614068,YAU TSIM MONG,22.31002,114.17008999999999,Private room,548,1,94,8,0
3336,16499600,108387423,WAN CHAI,22.27598,114.17553999999998,Entire home/apt,399,3,0,1,0
3337,16499723,101004430,WAN CHAI,22.27662,114.17213999999998,Entire home/apt,1948,1,44,2,170
3338,16503633,12791254,CENTRAL & WESTERN,22.28696,114.14506000000002,Entire home/apt,947,6,2,1,0
3339,16507812,103614068,YAU TSIM MONG,22.307389999999998,114.17261,Private room,548,1,125,8,0
3341,16533322,108763597,CENTRAL & WESTERN,22.28589,114.13718,Entire home/apt,798,2,0,2,0
3344,16547127,14861546,CENTRAL & WESTERN,22.287020000000002,114.15059,Entire home/apt,649,60,1,100,133
3345,16548315,16156323,CENTRAL & WESTERN,22.28802,114.14008999999999,Entire home/apt,947,1,140,2,75
3346,16550219,27128458,CENTRAL & WESTERN,22.28652,114.14148999999999,Entire home/apt,712,3,14,1,25
3347,16562367,25289527,WAN CHAI,22.28228,114.18404,Private room,360,2,2,3,0
3348,16567185,71243739,CENTRAL & WESTERN,22.28304,114.15018,Private room,900,2,0,1,0
3349,16572456,109193939,WAN CHAI,22.2788,114.1791,Private room,1228,2,139,1,173
3350,16572519,52319280,YAU TSIM MONG,22.32349,114.1719,Private room,501,1,1,8,170
3352,16579407,25289527,WAN CHAI,22.282220000000002,114.18253,Private room,360,2,2,3,0
3353,16579426,25289527,WAN CHAI,22.28143,114.18461,Private room,360,2,5,3,0
3357,16591339,53247930,YAU TSIM MONG,22.3194,114.1721,Entire home/apt,391,1,6,6,298
3358,16591884,109424992,WAN CHAI,22.27366,114.17486000000001,Entire home/apt,1252,5,6,1,0
3359,16603362,109545586,CENTRAL & WESTERN,22.28302,114.15444,Entire home/apt,853,4,10,1,0
3361,16606153,7871640,CENTRAL & WESTERN,22.28445,114.15033999999999,Entire home/apt,1197,2,0,1,363
3362,16609528,27820990,YAU TSIM MONG,22.30645,114.17262,Shared room,180,2,25,23,364
3363,16609727,27820990,YAU TSIM MONG,22.305229999999998,114.17158,Shared room,172,2,53,23,364
3364,16609929,27820990,YAU TSIM MONG,22.30612,114.17251999999999,Shared room,180,2,19,23,364
3365,16610042,109615569,WAN CHAI,22.27757,114.16833000000001,Entire home/apt,1001,2,0,1,0
3366,16610203,109617010,YAU TSIM MONG,22.30945,114.17028,Private room,399,1,74,2,365
3367,16610604,30098437,YAU TSIM MONG,22.31919,114.17119,Private room,164,21,1,54,295
3368,16610928,30098437,YAU TSIM MONG,22.31916,114.17031999999999,Shared room,110,14,2,54,365
3369,16611108,30098437,YAU TSIM MONG,22.32059,114.17018,Private room,219,21,2,54,323
3370,16614844,10171189,CENTRAL & WESTERN,22.286260000000002,114.14907,Entire home/apt,548,1,116,8,52
3371,16620020,53298133,CENTRAL & WESTERN,22.28746,114.14621000000001,Entire home/apt,798,4,4,1,0
3372,16620555,66172332,WAN CHAI,22.277260000000002,114.17692,Entire home/apt,1001,4,74,12,70
3373,16622592,15298049,WAN CHAI,22.277910000000002,114.17821,Private room,649,1,14,2,0
3374,16625962,32286729,WAN CHAI,22.27675,114.17067,Entire home/apt,947,2,13,1,0
3375,16637906,31061315,CENTRAL & WESTERN,22.28639,114.14753,Entire home/apt,696,1,3,1,0
3377,16640298,1251282,CENTRAL & WESTERN,22.28794,114.14165,Entire home/apt,626,1,30,1,90
3378,16653352,15624993,CENTRAL & WESTERN,22.28779,114.1422,Private room,399,1,40,3,87
