,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,cen_lat,cen_long,distance
4822,21178161,24358640,YAU TSIM MONG,22.316,114.16873000000001,Private room,477,1,52,39,360,22.3080085266259,114.17104818774976,0.9194759770208374
4823,21179425,11887539,YAU TSIM MONG,22.30485,114.17152,Private room,2003,1,1,11,42,22.3080085266259,114.17104818774976,0.3543275644821563
4827,21191813,150084966,YAU TSIM MONG,22.30471,114.17115,Private room,383,1,3,5,80,22.3080085266259,114.17104818774976,0.3666985676266399
4832,21194069,68167099,CENTRAL & WESTERN,22.27755,114.12938999999999,Entire home/apt,798,2,3,1,0,22.284189950400627,114.14648174742455,1.906120068491344
4834,21195683,49860721,YAU TSIM MONG,22.32258,114.16901000000001,Private room,352,1,13,15,75,22.3080085266259,114.17104818774976,1.6327570028260943
4835,21205429,2336819,CENTRAL & WESTERN,22.28085,114.12062,Entire home/apt,861,14,7,2,340,22.284189950400627,114.14648174742455,2.6850588600861576
4836,21205532,153180615,WAN CHAI,22.269289999999998,114.18472,Entire home/apt,900,2,10,1,3,22.275147891304314,114.18205756086955,0.7061930690993746
4838,21213450,55790334,WAN CHAI,22.281760000000002,114.18486000000001,Entire home/apt,751,1,111,4,76,22.275147891304314,114.18205756086955,0.7892613280797889
4839,21223983,150084966,YAU TSIM MONG,22.30564,114.17061000000001,Private room,297,1,1,5,88,22.3080085266259,114.17104818774976,0.26703029720646787
4841,21231752,153383798,YAU TSIM MONG,22.29748,114.17166,Entire home/apt,1001,1,144,3,339,22.3080085266259,114.17104818774976,1.171673381688806
4842,21236141,24358640,YAU TSIM MONG,22.31768,114.17031999999999,Private room,321,1,39,39,364,22.3080085266259,114.17104818774976,1.077347636147023
4843,21239357,152042843,YAU TSIM MONG,22.306820000000002,114.16841000000001,Private room,297,1,66,4,162,22.3080085266259,114.17104818774976,0.3016764056858119
4844,21239551,24358640,YAU TSIM MONG,22.31596,114.16991000000002,Private room,352,1,17,39,361,22.3080085266259,114.17104818774976,0.8913223285484185
4845,21239607,2438353,CENTRAL & WESTERN,22.28279,114.1542,Entire home/apt,1299,1,180,7,117,22.284189950400627,114.14648174742455,0.8087421630614919
4846,21243686,23141755,YAU TSIM MONG,22.30837,114.17012,Private room,297,2,10,17,311,22.3080085266259,114.17104818774976,0.10353495062122178
4847,21245003,24358640,YAU TSIM MONG,22.31749,114.16852,Private room,422,1,14,39,364,22.3080085266259,114.17104818774976,1.0852136609823468
4849,21246192,153584461,CENTRAL & WESTERN,22.2832,114.1517,Private room,548,28,3,2,137,22.284189950400627,114.14648174742455,0.5477331116372383
4850,21246433,153584461,CENTRAL & WESTERN,22.28483,114.15038,Private room,454,28,5,2,137,22.284189950400627,114.14648174742455,0.4071009149205042
4852,21246545,19694958,WAN CHAI,22.27597,114.16933,Entire home/apt,861,1,2,1,0,22.275147891304314,114.18205756086955,1.3119852798033391
4853,21247169,26285543,CENTRAL & WESTERN,22.285320000000002,114.14241000000001,Entire home/apt,696,2,1,1,0,22.284189950400627,114.14648174742455,0.43710547971426783
4854,21249728,34880204,YAU TSIM MONG,22.29884,114.1712,Private room,602,2,0,1,0,22.3080085266259,114.17104818774976,1.018973106281812
4857,21256147,152032844,YAU TSIM MONG,22.29663,114.17261,Private room,368,1,56,9,89,22.3080085266259,114.17104818774976,1.274595048434173
4859,21257213,24746165,YAU TSIM MONG,22.32011,114.16349,Private room,250,4,42,1,0,22.3080085266259,114.17104818774976,1.5531164278056477
4861,21259541,26151477,WAN CHAI,22.26839,114.18411,Entire home/apt,696,1,1,1,0,22.275147891304314,114.18205756086955,0.7800675217988373
4862,21268419,69756521,CENTRAL & WESTERN,22.28388,114.14858999999998,Entire home/apt,1197,3,3,2,0,22.284189950400627,114.14648174742455,0.21950190266646824
4863,21268760,120642089,CENTRAL & WESTERN,22.283839999999998,114.15221000000001,Entire home/apt,2300,1,8,6,175,22.284189950400627,114.14648174742455,0.5902944882839547
4866,21270028,114133707,CENTRAL & WESTERN,22.284000000000002,114.1546,Entire home/apt,751,1,1,1,0,22.284189950400627,114.14648174742455,0.8350321328898139
4867,21270866,21341189,CENTRAL & WESTERN,22.281660000000002,114.15378999999999,Entire home/apt,462,2,46,5,19,22.284189950400627,114.14648174742455,0.8023506627520935
4868,21271336,3776152,CENTRAL & WESTERN,22.28528,114.14771,Entire home/apt,696,3,23,1,13,22.284189950400627,114.14648174742455,0.17499560298173888
4869,21272818,153879469,CENTRAL & WESTERN,22.28458,114.13163,Entire home/apt,602,1,26,1,0,22.284189950400627,114.14648174742455,1.5277536871369564
4870,21274319,64841101,WAN CHAI,22.28023,114.18646000000001,Private room,501,1,2,9,90,22.275147891304314,114.18205756086955,0.7237983676506351
4872,21281761,62759457,WAN CHAI,22.27798,114.17473000000001,Entire home/apt,649,2,0,2,0,22.275147891304314,114.18205756086955,0.81658653540044
4873,21282582,28730857,YAU TSIM MONG,22.296979999999998,114.17199,Private room,1127,1,0,11,67,22.3080085266259,114.17104818774976,1.2293655577589906
4874,21282993,8931450,CENTRAL & WESTERN,22.28886,114.14315,Private room,501,4,72,2,278,22.284189950400627,114.14648174742455,0.6218381382199597
4877,21290254,96633920,CENTRAL & WESTERN,22.28695,114.14106000000001,Private room,454,3,12,1,0,22.284189950400627,114.14648174742455,0.6362906867403725
4878,21291213,16927531,CENTRAL & WESTERN,22.28134,114.12924,Entire home/apt,1001,2,11,1,0,22.284189950400627,114.14648174742455,1.80097678164032
4879,21303389,13259616,WAN CHAI,22.27768,114.19237,Entire home/apt,798,6,1,1,0,22.275147891304314,114.18205756086955,1.0971386698203816
4881,21311452,99971507,WAN CHAI,22.27711,114.17676000000002,Private room,454,2,18,3,89,22.275147891304314,114.18205756086955,0.5867717021742219
4882,21313165,7589856,CENTRAL & WESTERN,22.28655,114.14651,Entire home/apt,1103,1,9,1,364,22.284189950400627,114.14648174742455,0.2622768687615364
4883,21326997,70747601,YAU TSIM MONG,22.29884,114.17191000000001,Private room,274,1,15,11,105,22.3080085266259,114.17104818774976,1.022699021440552
4885,21332728,48375785,YAU TSIM MONG,22.32594,114.16573000000001,Entire home/apt,203,7,4,1,34,22.3080085266259,114.17104818774976,2.0662774994873296
4886,21334126,24358640,YAU TSIM MONG,22.316110000000002,114.16896000000001,Private room,321,1,77,39,363,22.3080085266259,114.17104818774976,0.9255187357249468
4887,21340141,9134372,YAU TSIM MONG,22.3096,114.17066000000001,Private room,352,28,3,17,0,22.3080085266259,114.17104818774976,0.18129964725446907
4889,21349008,24358640,YAU TSIM MONG,22.31716,114.17056000000001,Private room,250,3,7,39,364,22.3080085266259,114.17104818774976,1.0181961814626108
4890,21350432,38156634,WAN CHAI,22.2786,114.17115,Entire home/apt,454,1,104,5,30,22.275147891304314,114.18205756086955,1.185423256364609
4894,21361262,154652624,YAU TSIM MONG,22.32432,114.16888999999999,Shared room,102,1,0,1,0,22.3080085266259,114.17104818774976,1.8261422085891983
4895,21361860,59126217,WAN CHAI,22.27761,114.17048,Entire home/apt,759,4,14,1,13,22.275147891304314,114.18205756086955,1.2215712217367884
4896,21361998,92101958,CENTRAL & WESTERN,22.28825,114.14263000000001,Entire home/apt,383,2,10,1,0,22.284189950400627,114.14648174742455,0.6003459662142159
4897,21363287,56566720,YAU TSIM MONG,22.29876,114.17363,Private room,477,1,13,10,90,22.3080085266259,114.17104818774976,1.061468462018286
4900,21365501,31255164,WAN CHAI,22.28021,114.18183,Entire home/apt,1299,1,86,11,228,22.275147891304314,114.18205756086955,0.5630138969537476
4904,21371754,15936479,CENTRAL & WESTERN,22.28267,114.15607,Entire home/apt,430,3,1,1,0,22.284189950400627,114.14648174742455,1.0002872410052956
4908,21384336,154397162,YAU TSIM MONG,22.30721,114.16935,Entire home/apt,696,2,0,1,0,22.3080085266259,114.17104818774976,0.1958446316457593
4909,21386367,154908100,CENTRAL & WESTERN,22.285529999999998,114.14653,Entire home/apt,1001,2,0,1,0,22.284189950400627,114.14648174742455,0.14899579732673246
4910,21387684,22669354,CENTRAL & WESTERN,22.28501,114.1419,Entire home/apt,532,1,149,7,315,22.284189950400627,114.14648174742455,0.4798523163567255
4911,21400639,23376488,YAU TSIM MONG,22.309260000000002,114.16991999999999,Private room,501,1,29,12,365,22.3080085266259,114.17104818774976,0.1810893017402154
4913,21410936,67078255,YAU TSIM MONG,22.318379999999998,114.17231000000001,Entire home/apt,391,3,76,9,35,22.3080085266259,114.17104818774976,1.1598082939771495
4914,21414553,35312735,CENTRAL & WESTERN,22.281879999999997,114.15288999999999,Entire home/apt,1001,4,7,1,0,22.284189950400627,114.14648174742455,0.7071712784892539
4915,21414680,120642089,CENTRAL & WESTERN,22.2853,114.15357,Entire home/apt,2300,1,0,6,175,22.284189950400627,114.14648174742455,0.739216254611775
4916,21414882,45568828,CENTRAL & WESTERN,22.28186,114.12643,Shared room,454,7,1,1,0,22.284189950400627,114.14648174742455,2.078044510533072
4917,21415327,120642089,CENTRAL & WESTERN,22.28456,114.1521,Entire home/apt,2300,1,0,6,175,22.284189950400627,114.14648174742455,0.5791615171818133
4918,21415432,120642089,CENTRAL & WESTERN,22.2852,114.15207,Entire home/apt,2300,1,0,6,175,22.284189950400627,114.14648174742455,0.5854734546035154
4919,21415454,120642089,CENTRAL & WESTERN,22.285529999999998,114.15338,Entire home/apt,2300,1,0,6,0,22.284189950400627,114.14648174742455,0.724776868065843
4921,21415933,137789480,WAN CHAI,22.28547,114.19136,Entire home/apt,1275,1,15,4,90,22.275147891304314,114.18205756086955,1.4935571161675034
4922,21416005,137789480,WAN CHAI,22.28706,114.18983999999999,Entire home/apt,1275,1,3,4,90,22.275147891304314,114.18205756086955,1.5468278336649408
4923,21416057,137789480,WAN CHAI,22.28572,114.19153999999999,Entire home/apt,978,1,16,4,85,22.275147891304314,114.18205756086955,1.5267509211034418
4926,21421240,123664635,YAU TSIM MONG,22.29785,114.17116000000001,Entire home/apt,665,1,101,4,31,22.3080085266259,114.17104818774976,1.1289259543936832
4927,21422346,122131447,YAU TSIM MONG,22.29105,114.17725,Private room,297,1,5,163,80,22.3080085266259,114.17104818774976,1.989469236581672
4928,21422615,122131447,YAU TSIM MONG,22.29287,114.17968,Private room,376,1,18,163,80,22.3080085266259,114.17104818774976,1.902008045877693
4929,21429147,52497507,CENTRAL & WESTERN,22.28155,114.15188,Entire home/apt,1901,1,16,11,0,22.284189950400627,114.14648174742455,0.6278386120178252
4930,21430389,4509858,CENTRAL & WESTERN,22.286279999999998,114.14373,Entire home/apt,861,31,1,1,180,22.284189950400627,114.14648174742455,0.3660641583077902
4931,21430417,121481836,WAN CHAI,22.27821,114.18647,Entire home/apt,1267,1,5,5,0,22.275147891304314,114.18205756086955,0.5671553981493479
4932,21431266,149898905,WAN CHAI,22.27814,114.1832,Private room,383,1,115,7,83,22.275147891304314,114.18205756086955,0.35264199079184894
4933,21431777,3285117,CENTRAL & WESTERN,22.28227,114.15274,Entire home/apt,900,2,11,1,0,22.284189950400627,114.14648174742455,0.6779599842182378
4934,21441057,49125021,CENTRAL & WESTERN,22.285829999999997,114.15104,Entire home/apt,1103,2,71,1,245,22.284189950400627,114.14648174742455,0.5028891065930123
4935,21441607,75158109,WAN CHAI,22.27949,114.18963000000001,Entire home/apt,376,3,9,1,0,22.275147891304314,114.18205756086955,0.9160592299009682
4938,21451673,20247048,WAN CHAI,22.27465,114.17058,Entire home/apt,688,7,17,1,0,22.275147891304314,114.18205756086955,1.1815623783110656
4941,21454604,131388118,CENTRAL & WESTERN,22.28183,114.15222,Entire home/apt,587,1,60,1,117,22.284189950400627,114.14648174742455,0.6456993064499174
4942,21462606,8931450,CENTRAL & WESTERN,22.289189999999998,114.14306,Entire home/apt,947,5,9,2,19,22.284189950400627,114.14648174742455,0.6576589454834317
4945,21467052,88453598,WAN CHAI,22.26752,114.1837,Entire home/apt,798,5,1,1,0,22.275147891304314,114.18205756086955,0.8643138096888882
4947,21469575,155904436,WAN CHAI,22.277620000000002,114.17903000000001,Entire home/apt,1400,2,0,1,0,22.275147891304314,114.18205756086955,0.4152020793685069
4949,21470630,31947768,YAU TSIM MONG,22.302039999999998,114.17178999999999,Entire home/apt,383,2,39,25,81,22.3080085266259,114.17104818774976,0.6676236239054661
4950,21476214,56974572,WAN CHAI,22.27812,114.19303000000001,Entire home/apt,501,3,1,1,0,22.275147891304314,114.18205756086955,1.175654766205045
4951,21478363,41680622,CENTRAL & WESTERN,22.281679999999998,114.12808999999999,Entire home/apt,407,5,12,1,0,22.284189950400627,114.14648174742455,1.9116182116352702
4952,21480052,130372560,WAN CHAI,22.275779999999997,114.17503,Entire home/apt,1799,30,0,1,177,22.275147891304314,114.18205756086955,0.7260645487263253
4953,21483928,50879625,CENTRAL & WESTERN,22.28319,114.12773,Private room,274,3,21,1,1,22.284189950400627,114.14648174742455,1.9313670578522828
4954,21484266,126712911,YAU TSIM MONG,22.32516,114.16365,Private room,172,1,2,2,83,22.3080085266259,114.17104818774976,2.052099747600337
4955,21486024,149898905,WAN CHAI,22.27869,114.18405,Private room,383,1,128,7,71,22.275147891304314,114.18205756086955,0.4437478978197363
4956,21492044,58164903,YAU TSIM MONG,22.303420000000003,114.184,Entire home/apt,1252,1,2,1,0,22.3080085266259,114.17104818774976,1.4258635345984052
4957,21492158,76263915,CENTRAL & WESTERN,22.28183,114.15213999999999,Entire home/apt,696,1,26,21,362,22.284189950400627,114.14648174742455,0.6381909623472828
4958,21492231,856087,CENTRAL & WESTERN,22.28675,114.14185,Entire home/apt,978,14,2,1,0,22.284189950400627,114.14648174742455,0.5547558042428411
4959,21506555,64841101,WAN CHAI,22.280620000000003,114.18473999999999,Private room,501,1,4,9,270,22.275147891304314,114.18205756086955,0.6677255292181691
4960,21510814,33083372,CENTRAL & WESTERN,22.2859,114.14165,Private room,329,28,8,2,105,22.284189950400627,114.14648174742455,0.5319265814238948
4963,21520026,107633649,WAN CHAI,22.27409,114.171,Entire home/apt,1502,1,25,9,365,22.275147891304314,114.18205756086955,1.143139686782872
4964,21522120,4971086,YAU TSIM MONG,22.31855,114.17108,Entire home/apt,1604,2,69,10,250,22.3080085266259,114.17104818774976,1.1714269901564016
4965,21530205,7058487,WAN CHAI,22.280829999999998,114.18327,Entire home/apt,751,7,1,1,0,22.275147891304314,114.18205756086955,0.6436159182423555
4967,21531977,31947768,YAU TSIM MONG,22.30319,114.17119,Entire home/apt,422,14,3,25,68,22.3080085266259,114.17104818774976,0.5356577723933116
4968,21532328,103614068,YAU TSIM MONG,22.30621,114.17116999999999,Private room,477,1,27,8,355,22.3080085266259,114.17104818774976,0.20025344985641405
4970,21535099,33175312,WAN CHAI,22.27982,114.17759,Entire home/apt,853,2,13,1,158,22.275147891304314,114.18205756086955,0.6932582258453615
4971,21535170,8826176,CENTRAL & WESTERN,22.2844,114.13063000000001,Private room,399,30,6,1,0,22.284189950400627,114.14648174742455,1.6301323926534286
4974,21541005,38426595,CENTRAL & WESTERN,22.28221,114.1527,Entire home/apt,751,4,19,1,0,22.284189950400627,114.14648174742455,0.676197282194396
4975,21544362,110212758,WAN CHAI,22.28099,114.18319,Entire home/apt,422,7,24,2,273,22.275147891304314,114.18205756086955,0.6595661217128415
4976,21545908,110212758,WAN CHAI,22.27838,114.17716000000001,Entire home/apt,383,7,29,2,187,22.275147891304314,114.18205756086955,0.6185764249801536
4977,21553007,156714903,CENTRAL & WESTERN,22.280089999999998,114.15666999999999,Entire home/apt,2996,1,0,1,0,22.284189950400627,114.14648174742455,1.1424119819218759
4979,21568835,6182563,CENTRAL & WESTERN,22.282770000000003,114.15378,Private room,383,3,4,2,0,22.284189950400627,114.14648174742455,0.766861011168722
4980,21569848,101588128,YAU TSIM MONG,22.31551,114.17177,Entire home/apt,861,1,73,6,92,22.3080085266259,114.17104818774976,0.8368984317253135
